time,ref_p_x,ref_p_y,ref_p_z,ref_p_roll,ref_p_pitch,ref_p_yaw,ref_p_qx,ref_p_qy,ref_p_qz,ref_p_qw,act_p_x,act_p_y,act_p_z,act_p_roll,act_p_pitch,act_p_yaw,act_p_qx,act_p_qy,act_p_qz,act_p_qw,ref_t_vx,ref_t_vy,ref_t_vz,ref_t_wx,ref_t_wy,ref_t_wz,act_t_vx,act_t_vy,act_t_vz,act_t_wx,act_t_wy,act_t_wz,wb_p_eskf_x,wb_p_eskf_y,wb_p_eskf_z,wb_p_eskf_roll,wb_p_eskf_pitch,wb_p_eskf_yaw,wb_p_eskf_qx,wb_p_eskf_qy,wb_p_eskf_qz,wb_p_eskf_qw,wb_t_raw_vx,wb_t_raw_vy,wb_t_raw_vz,wb_t_raw_wx,wb_t_raw_wy,wb_t_raw_wz,wb_t_eskf_vx,wb_t_eskf_vy,wb_t_eskf_vz,wb_t_eskf_wx,wb_t_eskf_wy,wb_t_eskf_wz,js_j1_v,js_j2_v,js_j3_v,js_j4_v,js_j5_v,js_j6_v,time_norm,tracking_error_pos_mm,tracking_error_ori_deg
1781971400.2915463,-0.010708051141325213,0.8103183792075372,0.3836545737382044,-0.0727728346927213,0.024562918179522164,-0.08790299026214335,-0.035801272900649314,0.013859418415851444,-0.043458614974549156,0.9983173514290741,-0.012628276646026337,0.8117659333239751,0.38372818033771294,-0.07908992298180856,0.016309553909548802,-0.08639176169354079,-0.03914460039100602,0.009847856999798342,-0.04282516228030674,0.9982668608385262,0.005424012828392369,-0.005185270048341486,-0.00010310074980123512,0.03956202139161056,0.048227616996061436,-0.00747857894928815,0.0018325791995653432,-0.0010314252187323652,-3.818756683170618e-05,0.014830009871133386,0.027031726401672136,0.0010633117344584606,-0.012901279959549754,0.8051728783950561,0.3113679743227536,-0.07243616532674158,0.024845666221695265,-0.08801442767932421,-0.035626168246689585,0.013995215901493633,-0.04351138975446175,0.9983194135377665,0.0034650910732197007,-0.006414274309630064,-0.00038596232245471517,0.05249124365608471,0.029469668081418786,-0.024076651631446757,0.005424012828392369,-0.005185270048341486,-0.00010310074980123512,0.03956202139161056,0.048227616996061436,-0.00747857894928815,-0.009332757913692785,0.0028544262782427654,0.007692972763354935,-0.03860125745619258,-0.013390724174991552,0.06288993956358466,0.0,2.4058463875343294,0.602825003670006
1781971400.3015473,-0.010631151408930261,0.8102157084189396,0.38365585920266476,-0.07232208775906168,0.024941473004779002,-0.08805218730578601,-0.0355668355154355,0.014041229731157118,-0.04352927204235494,0.998320112265859,-0.012531165459646554,0.8117208417428536,0.3837484188406552,-0.07837569897502926,0.017770325005565857,-0.08624482194004922,-0.03875712263854806,0.010558822551590252,-0.04272647732961571,0.9982789414017038,0.005424012828392369,-0.005185270048341486,-0.00010310074980123512,0.03956202139161056,0.048227616996061436,-0.00747857894928815,0.0013177677771109625,-0.0012414657941363177,-0.00048371438883926173,0.01382015071107513,0.027713017030388094,0.0008274332211452492,-0.012868575858746413,0.8051055221746555,0.3113698416519795,-0.07196338977234103,0.025264428862954085,-0.08833365406340454,-0.035378607779690076,0.014199595053253257,-0.04366640314024368,0.9983185598543424,-4.73232099242743e-05,-0.0055158123985617315,-0.0011411429722158173,0.06171254559475066,0.03600179505575996,-0.05098926697093236,0.0050623739750074465,-0.00535637458268992,-5.781739992182169e-05,0.04057534914049593,0.04776429107534308,-0.010755746282467813,-0.008620203452832464,0.002491178461501306,0.007613904149099881,-0.03618755982785661,-0.012819940676182388,0.06133572629566728,0.010000944137573242,2.4257054648618523,0.5489798034303904
1781971400.3115375,-0.010576420951372682,0.8101131374121471,0.3836600949982577,-0.0718553097845497,0.025361739320500343,-0.08841846335939531,-0.03532189251466352,0.014247312416362004,-0.04370772237797103,0.9983180920942099,-0.012531165459646554,0.8117208417428536,0.3837484188406552,-0.07837569897502926,0.017770325005565857,-0.08624482194004922,-0.03875712263854806,0.010558822551590252,-0.04272647732961571,0.9982789414017038,0.00495340786896359,-0.005407930422611111,-4.417298572573654e-05,0.04088067689471458,0.047624685441331936,-0.011743195943388577,0.0012239316481263821,-0.0010652691113106707,-9.798400187085279e-05,0.013390008674736957,0.02485277898768137,0.001170449538650633,-0.012848717183784763,0.8050409415668432,0.3113632654601197,-0.07141210022205209,0.025662975142105464,-0.08871701707696347,-0.03509178440749122,0.014393214235999617,-0.043854458514514354,0.9983176646731927,0.005282398219023828,-0.006295277851239828,0.0002950897184046512,0.03605460755326535,0.006759242414549782,0.004374718453832679,0.004558322894223856,-0.005537342593864209,-0.00015615415813274858,0.04312505529307331,0.04690319135787764,-0.014791178545219346,-0.007836352042563818,0.002485880933909185,0.006895338679688406,-0.034413359054677066,-0.012107721749727811,0.056167703483424154,0.019991159439086914,2.5324968724038635,0.5884496480325327
1781971400.3215477,-0.010531694686194278,0.8100038053482052,0.38365302587120487,-0.07127825671337734,0.02575394443228718,-0.0888071764066991,-0.03502229475960346,0.0144372746830538,-0.043898770914395036,0.9983175355976189,-0.012531165459646554,0.8117208417428536,0.3837484188406552,-0.07837569897502926,0.017770325005565857,-0.08624482194004922,-0.03875712263854806,0.010558822551590252,-0.04272647732961571,0.9982789414017038,0.004439012383534833,-0.005576423382121859,-0.0001899710120291474,0.04380282830396544,0.046685309552545136,-0.015711629547020274,0.0014623900733403562,-0.0010279457758360943,-0.0001057595963556745,0.012756000301532292,0.02084451145919057,0.000908366257076608,-0.012819159883035823,0.8049745770478305,0.3113575317355704,-0.07089196829050169,0.02595089439939488,-0.08896711612713139,-0.03482389747683807,0.014529881780161645,-0.043977857143723875,0.9983196434373155,0.00013083212312280795,-0.004404844096773996,0.00043874943999760296,0.035788680182951206,0.01832317063387625,-0.02597599170928883,0.004295124027562645,-0.005716952685129238,-0.0002245347383445766,0.044683790566250124,0.0442086386646141,-0.016116342978300856,-0.007246660985528939,0.0025625360470045533,0.006766079801318482,-0.031558725985782604,-0.011886628527946605,0.04932706142792286,0.030001401901245117,2.6372707811405833,0.6314729912327699
1781971400.3315396,-0.01048240143599646,0.8098985587462021,0.38365048868932916,-0.07077573090803928,0.026010158273994666,-0.08901524331229634,-0.03476419809298227,0.014557748021881034,-0.0440016548444615,0.9983202777037198,-0.012531165459646554,0.8117208417428536,0.3837484188406552,-0.07837569897502926,0.017770325005565857,-0.08624482194004922,-0.03875712263854806,0.010558822551590252,-0.04272647732961571,0.9982789414017038,0.0042518268307672686,-0.00575923911509584,-0.0002349352495614113,0.04494887939975387,0.04346338790330263,-0.016238124598234538,0.0014538782639464437,-0.0009633113043049296,0.0003671371032502722,0.011830503482881638,0.01663180285601475,0.0012102925214769016,-0.012802333348789193,0.8049143474135381,0.31135453032979776,-0.07041445482816149,0.02620419719431923,-0.08924049052618002,-0.034577851645433845,0.01465054052994979,-0.04411325601812773,0.998320458216203,0.0017652050362730442,-0.0029788661514707363,3.744879992651493e-05,0.03658083911537694,0.0063778242152391605,-0.005242244426082218,0.0038697656537115266,-0.005771104124617089,-0.00023709232870779102,0.045335268820103976,0.04144920635368431,-0.017660585178295878,-0.006539464688355662,0.002675235554327316,0.005827625624398868,-0.028488757058183087,-0.010909519147283695,0.04263677454957184,0.0399932861328125,2.743672658869313,0.6638673012490752
1781971400.3415437,-0.01045362069190626,0.8098036502496424,0.38364990150376166,-0.07030315056170386,0.0262639779572702,-0.08930988614163679,-0.034520440829145155,0.014679128644742348,-0.044147638828013515,0.9983205138296537,-0.012531165459646554,0.8117208417428536,0.3837484188406552,-0.07837569897502926,0.017770325005565857,-0.08624482194004922,-0.03875712263854806,0.010558822551590252,-0.04272647732961571,0.9982789414017038,0.0037520577803629765,-0.005774759573330222,-0.00023775689557355194,0.04545431016658225,0.040828664301831526,-0.01809882601472804,0.001424159059093,-0.0009058738344533072,0.00021791222484133737,0.009908546317506945,0.012668266026114237,0.0012890776371355544,-0.012787709186534539,0.8048692858624514,0.31135263839673555,-0.07002013229459869,0.026359997159438382,-0.08940919809553467,-0.03437627287604285,0.014722511399171448,-0.04419758520062486,0.9983226325377602,0.002931228603702239,-0.0022442961474413146,-0.0004598801434418681,0.02635499369555158,-7.527299093576523e-06,0.012093976527970588,0.0035535657416285874,-0.005684496589718485,-0.00023421201659190306,0.04539105016083645,0.03824981428565248,-0.017721794968490932,-0.005647719503579889,0.002187048286583044,0.00511289339780437,-0.024470165324700283,-0.009030097493304544,0.034594564482326395,0.04999732971191406,2.8286960157067407,0.6965426691778253
1781971400.351534,-0.010426301528503002,0.8097211934176896,0.38364983139922604,-0.06985878741340147,0.026414736406219053,-0.08946581449548298,-0.034294084678427005,0.014747243319944495,-0.04422605895123336,0.9983238403845585,-0.012459859057081635,0.8116706506470545,0.38374780632053734,-0.07785346182789317,0.018754315610887806,-0.08617071306036038,-0.038475493990573484,0.011037377382966763,-0.04267292019055051,0.998286950002402,0.003440408118497915,-0.005633038885181253,-0.00023219112909229892,0.04535498648828278,0.036779646816458365,-0.01750685467511346,0.0014009380958756056,-0.0006131733446794604,0.0006479799185029637,0.00848928327247416,0.008445348496180914,0.0007053500257506631,-0.012772927882119216,0.8048337463791388,0.3113500613336715,-0.0696914365037501,0.026456904416235657,-0.08949496095093043,-0.03420938186276914,0.014765087531212445,-0.04424109741205556,0.9983258116655228,0.0006392635731169458,-0.0009982222093529807,0.00046863556944248645,0.0065733364075568415,0.00977556637875818,-0.002327549612734703,0.0033188166725052763,-0.005507952850298345,-0.0002451843005950671,0.04476631154224561,0.03479017137514032,-0.01664375867405988,-0.00445872592387886,0.0020807387644768017,0.003917204095500174,-0.01864666870432183,-0.007380142497551427,0.025541725122143144,0.059987545013427734,2.8187477354967183,0.6648383065370738
1781971400.3615384,-0.01040367501510676,0.8096542629916479,0.38364744530370926,-0.06948677378236869,0.02650847401751988,-0.08953060576996923,-0.03410579408546143,0.014786910208164805,-0.044259488780968186,0.9983282224544907,-0.012459859057081635,0.8116706506470545,0.38374780632053734,-0.07785346182789317,0.018754315610887806,-0.08617071306036038,-0.038475493990573484,0.011037377382966763,-0.04267292019055051,0.998286950002402,0.0031701157405211325,-0.005354978191485457,-0.00026107437161213855,0.044046388258195325,0.03235713137081741,-0.015588230641633775,0.001147609572634359,-0.0004348857407056112,0.0007524326404924756,0.0060074996957675585,0.004119633509679497,0.00042256268302885025,-0.012760984066195307,0.804798851100993,0.31135189646093175,-0.06938468130967324,0.02657332727536827,-0.08959802736342945,-0.03405286781184739,0.014818168695505526,-0.04429275644105782,0.9983280884285698,0.0006249544595007444,-0.00021862997986673161,0.000989661690113418,-0.007137572521592461,0.01818851336485436,-0.004334495156697156,0.0029069224149134935,-0.005069600679828247,-0.00016966375696519145,0.041617372205419424,0.03045875320031068,-0.015154360805096828,-0.0029724839492525734,0.0015916900353673677,0.002722546840970083,-0.011774489417817911,-0.005111861350030266,0.014979474586863509,0.0699920654296875,2.881628762531167,0.6844127328176141
1781971400.3715456,-0.010392428400314705,0.8096172669959804,0.3836552571770926,-0.06930836415601298,0.02662180701059169,-0.08964842700575647,-0.034013303851357195,0.014841535342610712,-0.04431762500442932,0.9983279882402157,-0.012459859057081635,0.8116706506470545,0.38374780632053734,-0.07785346182789317,0.018754315610887806,-0.08617071306036038,-0.038475493990573484,0.011037377382966763,-0.04267292019055051,0.998286950002402,0.0027101775918874534,-0.004856272519256612,-0.00010133160925630163,0.039801610607637726,0.029039659169979373,-0.014830030224111453,0.0006713671875737653,-0.0004811305909008297,0.0003124362338809284,0.003947826168748591,0.001899351666512185,0.0003113823748380357,-0.012748817236876571,0.8047762457079753,0.3113546991447026,-0.06921991295290984,0.026687053485886326,-0.08963690357705902,-0.033967762049862495,0.014871947119099027,-0.04431138257790621,0.998329362861699,0.0038141057676476546,-0.0003822089646398465,-0.0007496493124823501,0.00036759243784114347,0.010619638721077103,0.019070239307228218,0.0025457539823306482,-0.0044584409050018375,-9.27570171876668e-05,0.036278025186906364,0.026468769066451514,-0.012716343778763642,-0.0018642329923285578,0.0013779890885521648,0.0021366567793637313,-0.00747829872777306,-0.003917204095500174,0.008902736580682214,0.07999920845031738,2.9153420524855242,0.69787681307067
1781971400.3815358,-0.01037313733681241,0.8095916853859463,0.38365534805722606,-0.06919220021953554,0.02670749592318522,-0.08963329316028856,-0.0339534933032776,0.014881475462679357,-0.044309426757117194,0.998329793545707,-0.012459859057081635,0.8116706506470545,0.38374780632053734,-0.07785346182789317,0.018754315610887806,-0.08617071306036038,-0.038475493990573484,0.011037377382966763,-0.04267292019055051,0.998286950002402,0.0024942382596244697,-0.004333795890949766,-9.007050331951223e-05,0.03517404717574843,0.02566328096143796,-0.012054102601235378,0.0012991870318727987,-0.0007563255111572894,0.0008132646383074842,0.009363830356604005,0.010968041139798866,-0.000975308400740387,-0.012739193606979938,0.8047714344424437,0.31136061427891537,-0.0692013803030018,0.026753860946149226,-0.08963743250259922,-0.03395699620408922,0.014904891949022694,-0.04431060965975109,0.9983292724861159,0.0008896326656333105,0.0008236142865510595,0.0014112195998103707,-0.01699627280065374,0.010534867705844886,-0.004558858144235801,0.002285126326779532,-0.0038045767684740414,1.9462546348761043e-05,0.030619779557232135,0.023211951054385553,-0.010559602117372353,-0.004161477528953603,0.002576744507083806,0.004273313558727463,-0.01567094317048151,-0.009022857594078518,0.025521887127449284,0.08998942375183105,2.9470413341506574,0.7055126861225068
