time,ref_pose_x,ref_pose_y,ref_pose_z,ref_pose_roll,ref_pose_pitch,ref_pose_yaw,actual_pose_x,actual_pose_y,actual_pose_z,actual_pose_roll,actual_pose_pitch,actual_pose_yaw,ref_twist_vx,ref_twist_vy,ref_twist_vz,ref_twist_wx,ref_twist_wy,ref_twist_wz,actual_twist_vx,actual_twist_vy,actual_twist_vz,actual_twist_wx,actual_twist_wy,actual_twist_wz,error_3d_mm
1781504557.1045737,-0.03159311450163152,0.7777126407765498,0.3817715825561462,-0.04759838367284433,0.030167753146528753,-0.10381562109898992,-0.031630590569890094,0.7776437570706406,0.3817382698645556,-0.04745545205960283,0.03010284658673945,-0.10388441681663993,9.973952227729e-05,9.877134689278147e-05,8.647642608712537e-05,-0.0006366557093490763,0.0002522595699798923,0.0004435017073714037,3.235007259344985e-05,0.0005302652474604493,0.0006029556143603494,0.0005625439946987724,0.0007683163911632959,-4.252114558017924e-05,0.08520068105897213
1781504557.1145644,-0.031592709906698255,0.7777165194995908,0.38177330707547824,-0.04758362080271326,0.030186516438794442,-0.10385044212119493,-0.031630590569890094,0.7776437570706406,0.3817382698645556,-0.04745545205960283,0.03010284658673945,-0.10388441681663993,8.723758203420827e-05,0.00012564798082066386,9.193642044972008e-05,-0.00039451405714823514,0.000447405086938864,2.5290984835302905e-05,1.6126724743594712e-05,0.0002749622656687999,0.00023219729253519888,-0.0006606581435040276,0.0006814490396357424,0.00011513011087070272,0.08920157991771749
1781504557.1245766,-0.03159233100345543,0.7777187114903212,0.38177371307357044,-0.04757469106691398,0.03018817125352502,-0.10385071000198529,-0.031630590569890094,0.7776437570706406,0.3817382698645556,-0.04745545205960283,0.03010284658673945,-0.10388441681663993,8.372104067250189e-05,0.00013587523224590004,8.846375997351868e-05,-0.0002538702300706511,0.00041674594574261936,2.0469612259334005e-05,-3.7644464653796804e-05,8.045068940824702e-05,-3.676376876326866e-05,-0.001724719548985535,0.0005495553642831433,0.00044001616444244647,0.0913136381856436
1781504557.13458,-0.03159208230267308,0.7777205141957283,0.38177401379702364,-0.04756694728107036,0.03018917997548698,-0.1038509358599154,-0.031630590569890094,0.7776437570706406,0.3817382698645556,-0.04745545205960283,0.03010284658673945,-0.10388441681663993,7.983722508452232e-05,0.0001423637179577834,8.45550757132158e-05,-0.00014154145650354088,0.000382366612954529,1.6297002705286316e-05,-3.475342982745119e-05,4.1841640439344476e-05,-1.8396227835686266e-05,-0.0018941118059953887,0.00010544194410034068,0.0006707755304817544,0.09301705007182515
1781504557.1445732,-0.0315919394852973,0.777721985035904,0.38177422598252486,-0.04756030405606446,0.030189676990223235,-0.10385112405890493,-0.031630590569890094,0.7776437570706406,0.3817382698645556,-0.04745545205960283,0.03010284658673945,-0.10388441681663993,7.570778349509173e-05,0.00014576860722933775,8.034589026346453e-05,-5.350293789618681e-05,0.00034614092438885007,1.2724657223247813e-05,-0.00011249587876654094,1.679584033129132e-05,-0.0001827184635576901,-0.0023510418084312216,0.00010734820368227893,0.000988296714197582,0.09437353076399368
1781504557.1545517,-0.03159188174801183,0.777723173471453,0.3817743642268133,-0.0475546672873212,0.03018977699514669,-0.103851278896841,-0.03163115716552484,0.7776541983538972,0.3817448332517751,-0.04752144338678976,0.030118249411497544,-0.10386639585082791,7.143348416398827e-05,0.00014665492466110414,7.594880518006837e-05,1.3925861563838962e-05,0.00030952342105224605,9.699818303172978e-06,3.9133038736525793e-05,-0.00016491681215655807,-0.00010419251698355255,-0.0020043357710905394,0.00037892239889892427,0.0005676494969748874,0.084688864376472
1781504557.164564,-0.0315958712772523,0.7777163575011198,0.3817729076988382,-0.04759640044346329,0.030190826689546535,-0.10384031558714628,-0.03163115716552484,0.7776541983538972,0.3817448332517751,-0.04752144338678976,0.030118249411497544,-0.10386639585082791,3.8968195226628575e-05,7.400054175230076e-05,6.265058473751549e-05,-0.00044681002255862203,0.00028148981688443054,0.00012868215843215541,0.00010446384587534503,0.00020585835928480818,0.0002952130796640332,-0.0005530628186137901,0.00027346341352801293,0.0002457547717665909,0.0767921094418233
1781504557.1745708,-0.0315993428941986,0.7777103909104278,0.3817716279668986,-0.04763109463274175,0.03019144612659974,-0.10383120033801817,-0.03163115716552484,0.7776541983538972,0.3817448332517751,-0.04752144338678976,0.030118249411497544,-0.10386639585082791,1.241216627881012e-05,1.4737891739610991e-05,5.118128386807766e-05,-0.0007797935218361004,0.000252780067891833,0.00021430867545335673,6.91895775455314e-05,0.00014792646732346616,0.00011886907757949065,-0.0001665678218965459,0.00018468146068780614,0.00023011876835614026,0.06991214506809001
1781504557.1845648,-0.031602354619613984,0.7777051719760407,0.38177050683515834,-0.04765956508887424,0.030191726153178555,-0.10382371925780946,-0.03163115716552484,0.7776541983538972,0.3817448332517751,-0.04752144338678976,0.030118249411497544,-0.10386639585082791,-9.06357554728478e-06,-3.3023316689551535e-05,4.132551821757484e-05,-0.0010079417922352041,0.0002243495648322636,0.0002725991082225133,0.00022648284302267794,0.000251307682684443,0.00010641152337785299,0.0002436401488336881,0.00026064026673542273,-6.701740990040995e-05,0.06392988103475536
1781504557.194572,-0.03160495853735906,0.7777006130437654,0.381769527514741,-0.0476825929988655,0.030191744146101263,-0.10381766736216018,-0.03163115716552484,0.7776541983538972,0.3817448332517751,-0.04752144338678976,0.030118249411497544,-0.10386639585082791,-2.6188879810294105e-05,-7.094629359419909e-05,3.2889937879494624e-05,-0.001151295516021434,0.00019690650731081993,0.00030881207250144885,0.0003179082372098894,0.00030660436197003243,0.00020028576785857926,0.0003498270444622196,5.123025000501179e-05,-0.00010601761126655312,0.05874094123148538
