time,ref_pose_x,ref_pose_y,ref_pose_z,ref_pose_roll,ref_pose_pitch,ref_pose_yaw,actual_pose_x,actual_pose_y,actual_pose_z,actual_pose_roll,actual_pose_pitch,actual_pose_yaw,ref_twist_vx,ref_twist_vy,ref_twist_vz,ref_twist_wx,ref_twist_wy,ref_twist_wz,actual_twist_vx,actual_twist_vy,actual_twist_vz,actual_twist_wx,actual_twist_wy,actual_twist_wz,error_3d_mm
1781587182.1469226,0.10824246712357032,0.8655144469922921,0.3398355146860743,-0.36680101812658866,0.6361557195651395,-0.18487002960111393,0.10823725303162435,0.8655425339874072,0.3398934748942477,-0.36662577701798343,0.636217067120894,-0.18478223831548352,-6.0190538127061084e-05,5.299370046601433e-05,-2.200990246008135e-05,-0.001657640082106704,-0.0002940501309753199,0.0009754834818507668,-0.0001882859435290563,-8.549751491072762e-06,8.4416051700159e-05,0.00033427930599787823,0.00020570078270755525,0.0007664273819912485,0.06461773580776185
1781587182.1569152,0.10824494903433265,0.8655192382766743,0.3398367428377942,-0.3669310939128075,0.6360431250626322,-0.18485685095078902,0.10823725303162435,0.8655425339874072,0.3398934748942477,-0.36662577701798343,0.636217067120894,-0.18478223831548352,2.1640872133089843e-06,1.1417134505484363e-05,-2.4305930491948607e-05,-0.002982192646153785,-0.0014508540734374242,0.0005361103067361521,9.535369364695967e-05,-3.9562284320879975e-05,-2.6551690190895115e-05,-0.00020930159693606745,0.00020554359319913752,-0.00021103300090974,0.061809747011952194
1781587182.166915,0.10824727138006239,0.8655229575824244,0.3398377779222578,-0.367038447189014,0.6359494916200314,-0.18484691977659487,0.10823725303162435,0.8655425339874072,0.3398934748942477,-0.36662577701798343,0.636217067120894,-0.18478223831548352,5.2193285188591147e-05,-2.2104083107697018e-05,-2.5841139334536183e-05,-0.0038930089364754986,-0.002277886638365905,0.000192222363206606,-8.421012822514663e-06,-0.00018084874104286173,-0.00029203392939168056,-0.0006144472654521291,0.00014889570066673098,-0.00021362261260975547,0.05988117923292049
1781587182.1768994,0.1082494563192471,0.8655257417658083,0.339838638392147,-0.36712583791018216,0.6358726276039235,-0.1848396963629515,0.10823725303162435,0.8655425339874072,0.3398934748942477,-0.36662577701798343,0.636217067120894,-0.18478223831548352,9.169404024558698e-05,-4.8733935469992386e-05,-2.6746130303182294e-05,-0.00446889395727987,-0.002835196451946233,-7.070714747331897e-05,-9.720301667659765e-05,2.2052798080463747e-05,0.00012050626185987154,-7.354198434342533e-05,0.0007304215182599076,-0.0004812242419415422,0.058633956865195305
1781587182.1869173,0.10825151579776786,0.8655277244047509,0.33983934330334137,-0.36719588019189997,0.635810432002895,-0.18483470158448964,0.10823615551609655,0.8655412497824291,0.3398930284369654,-0.3666263910832482,0.636235658354178,-0.1847731201366119,0.00012224232931567236,-6.949415755628595e-05,-2.713373212792825e-05,-0.004778061908463968,-0.003175158488259993,-0.00026577907700379565,0.00016234242738054412,-6.12721550163258e-05,-0.0001381502150506261,-0.0009111513340516134,0.000607993649885502,-0.0011165873832740545,0.05745404830461264
1781587182.1969244,0.10825001052427018,0.8655340670843462,0.3398407987998933,-0.3671199619149518,0.6358750997537994,-0.18479601921045619,0.10823615551609655,0.8655412497824291,0.3398930284369654,-0.3666263910832482,0.636235658354178,-0.1847731201366119,8.56614932039228e-05,2.698956714363893e-06,-9.556932639082362e-06,-0.0036784112130162673,-0.0022915748096736847,0.0003337846002237086,6.37206139055643e-05,-8.652994640090159e-05,-0.00026521625119084956,-0.0012628170098206617,-9.474316434604675e-05,-0.0009007965116941696,0.05451135103738968
1781587182.2069178,0.10824875195395915,0.8655393206608665,0.3398420494757888,-0.36705349261799824,0.6359313423197515,-0.18476477112058043,0.10823615551609655,0.8655412497824291,0.3398930284369654,-0.3666263910832482,0.636235658354178,-0.1847731201366119,5.520996198031695e-05,6.061945212436272e-05,4.674346137841479e-06,-0.002753785855092846,-0.0015668185193829943,0.0007738834700924116,0.00042563961889940043,-0.00038525069734142133,-0.0007936615356715359,-0.00253331815957318,-0.0007955648923342848,-0.0016522378205828462,0.05254756168916555
1781587182.2169168,0.10824768707216416,0.8655436670966286,0.3398431251721005,-0.36699592362743194,0.635979733213881,-0.1847399496407838,0.10823615551609655,0.8655412497824291,0.3398930284369654,-0.3666263910832482,0.636235658354178,-0.1847731201366119,3.0064723984591274e-05,0.00010634836080965953,1.6039605953985912e-05,-0.0019856121306760467,-0.0009809023434812379,0.0010824533759232983,0.0004333063183137233,-0.0003286195273283211,-0.0008265509385509178,-0.0034687206925421623,-0.0015069973365433266,-0.0019430599750129983,0.05127529656133309
1781587182.2269235,0.10824677494605961,0.8655472578739878,0.33984405077860935,-0.3669466000298404,0.6360209169562614,-0.18472062369795245,0.10823615551609655,0.8655412497824291,0.3398930284369654,-0.3666263910832482,0.636235658354178,-0.1847731201366119,9.497851428641069e-06,0.00014171075928107781,2.4960093312036522e-05,-0.0013556904919481859,-0.0005150506684083213,0.0012840261766237677,0.0005858886539459561,-0.00022954467605899585,-0.0007039119473066122,-0.0035251321058115868,-0.002522366913684514,-0.0017500242966179552,0.05047455274649983
1781587182.2369068,0.10824598428137562,0.8655502188569443,0.33984484710443824,-0.36690480524818525,0.6360555736444096,-0.18470594509330376,0.10825293344092424,0.8655314218546375,0.33987157373577703,-0.36674275233812026,0.6361767487912218,-0.18491372660399796,-7.133029111655121e-06,0.0001683031241731706,3.180495134429184e-05,-0.0008466000037054454,-0.00015190952470699724,0.0013999116936659994,0.0005705598025704616,-0.000530015944301954,-0.000991660153647802,-0.0038162855652945768,-0.002123873490444762,-0.0015450201189024105,0.033405552485670995
